"","obsID","cross_checked","reference","paperID","subsetID","speciesID","common_name","species","species_cleaned","species_class","region","country","lat","lon","fitness_main_focus","confirmation_bias","study_type","shared_group","dispersal_type","dispersal_phase","fitness_metric","study_design","age_class","sex","n","group_1","group_2","n_group_1","n_group_2","mean_group_1","mean_group_2","mean_units","type_of_variance","variance_group_1","variance_group_2","function_needed","direction_change","effect_size","effect_size_details","effect_size_type","effect_size_value","positive...non.disperser.did.better.than.disperser","effect_size_df","effect_size_p_value_numeric","effect_size_type_of_variance","effect_size_variance","publication_year","publication_authors","age_class_clean","fitness_metric_clean","fitness_higher_level","whose_fitness"
"19","ARM","ML","Newton & Marquiss 1983","p010","c016","s010","sparrowhawk","Accipiter nisus","Accipiter nisus","Aves","Annan","Scotland",54.9886984040401,-3.25663930293424,"N",NA,"natural","E","natal","settlement","n of cluthes per year","contrast","A","M",26,"low","high",8,18,7.97,4.37,"geometric mean meters","SD",7.148849558,3.924442636,"mean_method",1,"t-test","two-tailed t-test","t or z value",1.73,"positive = non-disperser did better than disperser",24,NA,NA,NA,1983,"Newton & Marquiss","adult","reproductive lifespan and/or attempts","reproduction","individual"
"20","ARM","ML","Newton & Marquiss 1983","p010","c016","s010","sparrowhawk","Accipiter nisus","Accipiter nisus","Aves","Annan","Scotland",54.9886984040401,-3.25663930293424,"N",NA,"natural","E","natal","settlement","survival","contrast","A","M",65,"low","high",47,18,12.64,11.57,"geometric mean meters","SD",10.58538851,11.92182033,"mean_method",1,"t-test","two-tailed t-test","t or z value",0.25,"positive = non-disperser did better than disperser",63,NA,NA,NA,1983,"Newton & Marquiss","adult","survival","survival","individual"
"21","ARM","ML","Newton & Marquiss 1983","p010","c017","s010","sparrowhawk","Accipiter nisus","Accipiter nisus","Aves","Annan","Scotland",54.9886984040401,-3.25663930293424,"N",NA,"natural","E","natal","settlement","clutch size","contrast","A","F",90,"low","high",27,63,11.97,8.31,"geometric mean meters","SD",13.65207677,6.111685529,"mean_method",1,"t-test","two-tailed t-test","t or z value",2.15,"positive = non-disperser did better than disperser",88,0.01,NA,NA,1983,"Newton & Marquiss","adult","lifetime breeding success","reproduction","individual"
"22","ARM","ML","Newton & Marquiss 1983","p010","c017","s010","sparrowhawk","Accipiter nisus","Accipiter nisus","Aves","Annan","Scotland",54.9886984040401,-3.25663930293424,"N",NA,"natural","E","natal","settlement","n of cluthes per year","contrast","A","F",88,"low","high",34,54,10.82,8.7,"geometric mean meters","SD",11.463612,6.28294119,"mean_method",1,"t-test","two-tailed t-test","t or z value",1.3,"positive = non-disperser did better than disperser",86,NA,NA,NA,1983,"Newton & Marquiss","adult","reproductive lifespan and/or attempts","reproduction","individual"
"23","ARM","ML","Newton & Marquiss 1983","p010","c017","s010","sparrowhawk","Accipiter nisus","Accipiter nisus","Aves","Annan","Scotland",54.9886984040401,-3.25663930293424,"N",NA,"natural","E","natal","settlement","survival","contrast","A","F",99,"low","high",67,32,24.35,21.45,"geometric mean meters","SD",24.39235126,20.73237082,"mean_method",1,"t-test","two-tailed t-test","t or z value",0.6,"positive = non-disperser did better than disperser",97,NA,NA,NA,1983,"Newton & Marquiss","adult","survival","survival","individual"
"24","ARM",NA,"Johnson & Gaines 1985","p011","c018","s069","prairie vole","Microtus ochrogaster","Microtus ochrogaster","Mammalia","Lawrence","Kansas",38.9708441063797,-95.238753822738,"Y",NA,"semi-natural","E","natal","settlement","survival","contrast","JY","M",414,"non-disperser","disperser",210,204,48.1,63.2,"percent alive",NA,NA,NA,"percent_method1",1,"chi-square","chi-square test for homogeneity","chi2",9.65,"positive = disperser did better than non-disperser",1,0.05,NA,NA,1985,"Johnson & Gaines","mix","survival","survival","individual"
"25","ARM",NA,"Johnson & Gaines 1985","p011","c018","s069","prairie vole","Microtus ochrogaster","Microtus ochrogaster","Mammalia","Lawrence","Kansas",38.9708441063797,-95.238753822738,"Y",NA,"semi-natural","E","natal","settlement","survival","contrast","JY","M",337,"non-disperser","disperser",210,127,48.1,50.4,"percent alive",NA,NA,NA,"percent_method1",1,"chi-square","chi-square test for homogeneity","chi2",NA,NA,1,NA,NA,NA,1985,"Johnson & Gaines","mix","survival","survival","individual"
"26","ARM",NA,"Johnson & Gaines 1985","p011","c019","s069","prairie vole","Microtus ochrogaster","Microtus ochrogaster","Mammalia","Lawrence","Kansas",38.9708441063797,-95.238753822738,"Y",NA,"semi-natural","E","breeding","settlement","survival","contrast","A","M",1010,"non-disperser","disperser",555,455,66.7,77.4,"percent alive",NA,NA,NA,"percent_method1",1,"chi-square","chi-square test for homogeneity","chi2",13.98,"positive = disperser did better than non-disperser",1,0.001,NA,NA,1985,"Johnson & Gaines","adult","survival","survival","individual"
"27","ARM",NA,"Johnson & Gaines 1985","p011","c019","s069","prairie vole","Microtus ochrogaster","Microtus ochrogaster","Mammalia","Lawrence","Kansas",38.9708441063797,-95.238753822738,"Y",NA,"semi-natural","E","breeding","settlement","survival","contrast","A","M",897,"non-disperser","disperser",555,342,66.7,67.8,"percent alive",NA,NA,NA,"percent_method1",1,"chi-square","chi-square test for homogeneity","chi2",NA,NA,1,NA,NA,NA,1985,"Johnson & Gaines","adult","survival","survival","individual"
"28","ARM",NA,"Johnson & Gaines 1985","p011","c020","s069","prairie vole","Microtus ochrogaster","Microtus ochrogaster","Mammalia","Lawrence","Kansas",38.9708441063797,-95.238753822738,"Y",NA,"semi-natural","E","natal","settlement","survival","contrast","JY","F",451,"non-disperser","disperser",238,213,51.3,68.1,"percent alive",NA,NA,NA,"percent_method1",1,"chi-square","chi-square test for homogeneity","chi2",13.16,"positive = disperser did better than non-disperser",1,0.001,NA,NA,1985,"Johnson & Gaines","mix","survival","survival","individual"
"29","ARM",NA,"Johnson & Gaines 1985","p011","c020","s069","prairie vole","Microtus ochrogaster","Microtus ochrogaster","Mammalia","Lawrence","Kansas",38.9708441063797,-95.238753822738,"Y",NA,"semi-natural","E","natal","settlement","survival","contrast","JY","F",355,"non-disperser","disperser",238,117,51.3,54.7,"percent alive",NA,NA,NA,"percent_method1",1,"chi-square","chi-square test for homogeneity","chi2",NA,NA,1,NA,NA,NA,1985,"Johnson & Gaines","mix","survival","survival","individual"
"30","ARM",NA,"Johnson & Gaines 1985","p011","c020","s069","prairie vole","Microtus ochrogaster","Microtus ochrogaster","Mammalia","Lawrence","Kansas",38.9708441063797,-95.238753822738,"Y",NA,"semi-natural","E","natal","settlement","reproductive","contrast","JY","F",498,"non-disperser","disperser",239,259,12.1,12.7,"percent reproductive",NA,NA,NA,"percent_method1",1,"chi-square","chi-square test for homogeneity","chi2",NA,NA,1,NA,NA,NA,1985,"Johnson & Gaines","mix","lifetime breeding success","reproduction","individual"
"31","ARM",NA,"Johnson & Gaines 1985","p011","c020","s069","prairie vole","Microtus ochrogaster","Microtus ochrogaster","Mammalia","Lawrence","Kansas",38.9708441063797,-95.238753822738,"Y",NA,"semi-natural","E","natal","settlement","reproductive","contrast","JY","F",380,"non-disperser","disperser",239,141,12.1,11.3,"percent reproductive",NA,NA,NA,"percent_method1",1,"chi-square","chi-square test for homogeneity","chi2",NA,NA,1,NA,NA,NA,1985,"Johnson & Gaines","mix","lifetime breeding success","reproduction","individual"
"32","ARM",NA,"Johnson & Gaines 1985","p011","c021","s069","prairie vole","Microtus ochrogaster","Microtus ochrogaster","Mammalia","Lawrence","Kansas",38.9708441063797,-95.238753822738,"Y",NA,"semi-natural","E","breeding","settlement","survival","contrast","A","F",1048,"non-disperser","disperser",608,440,69.7,77.5,"percent alive",NA,NA,NA,"percent_method1",1,"chi-square","chi-square test for homogeneity","chi2",7.79,"positive = disperser did better than non-disperser",1,0.01,NA,NA,1985,"Johnson & Gaines","adult","survival","survival","individual"
"33","ARM",NA,"Johnson & Gaines 1985","p011","c021","s069","prairie vole","Microtus ochrogaster","Microtus ochrogaster","Mammalia","Lawrence","Kansas",38.9708441063797,-95.238753822738,"Y",NA,"semi-natural","E","breeding","settlement","survival","contrast","A","F",951,"non-disperser","disperser",608,343,69.7,63.8,"percent alive",NA,NA,NA,"percent_method1",1,"chi-square","chi-square test for homogeneity","chi2",NA,NA,1,NA,NA,NA,1985,"Johnson & Gaines","adult","survival","survival","individual"
"34","ARM",NA,"Johnson & Gaines 1985","p011","c021","s069","prairie vole","Microtus ochrogaster","Microtus ochrogaster","Mammalia","Lawrence","Kansas",38.9708441063797,-95.238753822738,"Y",NA,"semi-natural","E","breeding","settlement","reproductive","contrast","A","F",1187,"non-disperser","disperser",633,554,85.2,83.6,"percent reproductive",NA,NA,NA,"percent_method1",1,"chi-square","chi-square test for homogeneity","chi2",NA,NA,1,NA,NA,NA,1985,"Johnson & Gaines","adult","lifetime breeding success","reproduction","individual"
"35","ARM",NA,"Johnson & Gaines 1985","p011","c021","s069","prairie vole","Microtus ochrogaster","Microtus ochrogaster","Mammalia","Lawrence","Kansas",38.9708441063797,-95.238753822738,"Y",NA,"semi-natural","E","breeding","settlement","reproductive","contrast","A","F",1090,"non-disperser","disperser",633,457,85.2,79.6,"percent reproductive",NA,NA,NA,"percent_method1",1,"chi-square","chi-square test for homogeneity","chi2",5.68,"positive = non-disperser did better than disperser",1,0.05,NA,NA,1985,"Johnson & Gaines","adult","lifetime breeding success","reproduction","individual"
"36","ARM",NA,"Jones 1986","p012","c022","s011","banner-tailed kangaroo rat","Dipodomys spectabilis","Dipodomys spectabilis","Mammalia","Portal","Arizona",31.9141025971531,-109.140419583461,"Y",NA,"natural","N","natal","prospection","survival to reproductive maturity (overwinter)","contrast","J","M",84,"non-disperser","disperser",24,60,62.5,38.33333333,"percent alive",NA,NA,NA,"percent_method1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,"Jones","juvenile","survival","survival","individual"
"37","ARM",NA,"Jones 1986","p012","c023","s011","banner-tailed kangaroo rat","Dipodomys spectabilis","Dipodomys spectabilis","Mammalia","Portal","Arizona",31.9141025971531,-109.140419583461,"Y",NA,"natural","N","natal","prospection","survival to reproductive maturity (overwinter)","contrast","J","F",63,"non-disperser","disperser",13,50,69.23076923,38,"percent alive",NA,NA,NA,"percent_method1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,"Jones","juvenile","survival","survival","individual"
"38","ARM",NA,"Jones 1986","p012","c024","s011","banner-tailed kangaroo rat","Dipodomys spectabilis","Dipodomys spectabilis","Mammalia","Portal","Arizona",31.9141025971531,-109.140419583461,"Y",NA,"natural","N","natal","settlement","survival >1 year","contrast","A","M",26,"non-disperser","disperser",11,15,45.45454545,46.66666667,"percent alive",NA,NA,NA,"percent_method1",1,"likelihood ratio","G-test","G value",0.015949,NA,1,0.8995,NA,NA,1986,"Jones","adult","survival","survival","individual"
"39","ARM",NA,"Jones 1986","p012","c025","s011","banner-tailed kangaroo rat","Dipodomys spectabilis","Dipodomys spectabilis","Mammalia","Portal","Arizona",31.9141025971531,-109.140419583461,"Y",NA,"natural","N","natal","settlement","survival >1 year","contrast","A","F",25,"non-disperser","disperser",9,16,44.44444444,43.75,"percent alive",NA,NA,NA,"percent_method1",1,"likelihood ratio","G-test","G value",0.0054681,NA,1,0.9411,NA,NA,1986,"Jones","adult","survival","survival","individual"
"40","ARM","SN","Krohne & Burgin 1987","p013","c026","s012","white-footed mouse","Peromyscus leucopus","Peromyscus leucopus","Mammalia","Rockville","Indiana",39.7626547610309,-87.2295744346702,"Y",NA,"natural","N","natal","prospection","survival","contrast","J","B",89,"non-disperser","disperser",64,25,15.4,16.4,"mean weeks","SD",15.9,20.5,"mean_method",1,"non-parametric","Mann-Whitney U two-tailed","Mann-Whitney U",NA,NA,NA,NA,NA,NA,1987,"Krohne & Burgin","juvenile","survival","survival","individual"
"41","ARM","SN","Krohne & Burgin 1987","p013","c027","s012","white-footed mouse","Peromyscus leucopus","Peromyscus leucopus","Mammalia","Rockville","Indiana",39.7626547610309,-87.2295744346702,"Y",NA,"natural","N","breeding","settlement","reproductive","contrast","A","F",68,"non-disperser","disperser",30,38,70,42,"percent reproductive",NA,NA,NA,"percent_method1",1,"chi-square","chi-square test for homogeneity","chi2",5.26,"positive = non-disperser did better than disperser",1,0.05,NA,NA,1987,"Krohne & Burgin","adult","lifetime breeding success","reproduction","individual"
"42","ARM","SN","Krohne & Burgin 1987","p013","c028","s012","white-footed mouse","Peromyscus leucopus","Peromyscus leucopus","Mammalia","Rockville","Indiana",39.7626547610309,-87.2295744346702,"Y",NA,"natural","N","natal","prospection","recruitment","contrast","J","B",201,"non-disperser","disperser",102,99,59,51.52,"percent recruited",NA,NA,NA,"percent_method1",1,"chi-square","chi-square test for homogeneity","chi2",1.09,NA,1,29.8,NA,NA,1987,"Krohne & Burgin","juvenile","survival","survival","individual"
"43","ARM","SN","Johnson & Gaines 1987","p014","c029","s069","prairie vole","Microtus ochrogaster","Microtus ochrogaster","Mammalia","Lawrence","Kansas",38.9685957677679,-95.2342143136705,"Y",NA,"semi-natural","E","natal","settlement","survival","contrast","JY","M",303,"non-disperser","disperser",273,30,73.6,66.7,"percent alive",NA,NA,NA,"percent_method1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,"Johnson & Gaines","mix","survival","survival","individual"
"44","ARM","SN","Johnson & Gaines 1987","p014","c029","s069","prairie vole","Microtus ochrogaster","Microtus ochrogaster","Mammalia","Lawrence","Kansas",38.9685957677679,-95.2342143136705,"Y",NA,"semi-natural","E","natal","settlement","survival","contrast","JY","M",314,"non-disperser","disperser",284,30,71.3,66.7,"percent alive",NA,NA,NA,"percent_method1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,"Johnson & Gaines","mix","survival","survival","individual"
"45","ARM","SN","Johnson & Gaines 1987","p014","c030","s069","prairie vole","Microtus ochrogaster","Microtus ochrogaster","Mammalia","Lawrence","Kansas",38.9685957677679,-95.2342143136705,"Y",NA,"semi-natural","E","breeding","settlement","survival","contrast","A","M",528,"non-disperser","disperser",414,114,87.9,94.7,"percent alive",NA,NA,NA,"percent_method1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,"Johnson & Gaines","adult","survival","survival","individual"
"46","ARM","SN","Johnson & Gaines 1987","p014","c030","s069","prairie vole","Microtus ochrogaster","Microtus ochrogaster","Mammalia","Lawrence","Kansas",38.9685957677679,-95.2342143136705,"Y",NA,"semi-natural","E","breeding","settlement","survival","contrast","A","M",894,"non-disperser","disperser",780,114,86.5,94.7,"percent alive",NA,NA,NA,"percent_method1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,"Johnson & Gaines","adult","survival","survival","individual"
"47","ARM","SN","Johnson & Gaines 1987","p014","c031","s069","prairie vole","Microtus ochrogaster","Microtus ochrogaster","Mammalia","Lawrence","Kansas",38.9685957677679,-95.2342143136705,"Y",NA,"semi-natural","E","natal","settlement","survival","contrast","JY","F",273,"non-disperser","disperser",231,42,83.1,73.8,"percent alive",NA,NA,NA,"percent_method1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,"Johnson & Gaines","mix","survival","survival","individual"
"48","ARM","SN","Johnson & Gaines 1987","p014","c031","s069","prairie vole","Microtus ochrogaster","Microtus ochrogaster","Mammalia","Lawrence","Kansas",38.9685957677679,-95.2342143136705,"Y",NA,"semi-natural","E","natal","settlement","survival","contrast","JY","F",335,"non-disperser","disperser",293,42,69.3,73.8,"percent alive",NA,NA,NA,"percent_method1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,"Johnson & Gaines","mix","survival","survival","individual"
"49","ARM","SN","Johnson & Gaines 1987","p014","c031","s069","prairie vole","Microtus ochrogaster","Microtus ochrogaster","Mammalia","Lawrence","Kansas",38.9685957677679,-95.2342143136705,"Y",NA,"semi-natural","E","natal","settlement","reproductive","contrast","JY","F",321,"non-disperser","disperser",292,29,2.4,5.1,"percent reproductive",NA,NA,NA,"percent_method1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,"Johnson & Gaines","mix","lifetime breeding success","reproduction","individual"
"50","ARM","SN","Johnson & Gaines 1987","p014","c031","s069","prairie vole","Microtus ochrogaster","Microtus ochrogaster","Mammalia","Lawrence","Kansas",38.9685957677679,-95.2342143136705,"Y",NA,"semi-natural","E","natal","settlement","reproductive","contrast","JY","F",382,"non-disperser","disperser",353,29,3.1,5.1,"percent reproductive",NA,NA,NA,"percent_method1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,"Johnson & Gaines","mix","lifetime breeding success","reproduction","individual"
"51","ARM","SN","Johnson & Gaines 1987","p014","c032","s069","prairie vole","Microtus ochrogaster","Microtus ochrogaster","Mammalia","Lawrence","Kansas",38.9685957677679,-95.2342143136705,"Y",NA,"semi-natural","E","breeding","settlement","survival","contrast","A","F",540,"non-disperser","disperser",444,96,90.3,91.7,"percent alive",NA,NA,NA,"percent_method1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,"Johnson & Gaines","adult","survival","survival","individual"
"52","ARM","SN","Johnson & Gaines 1987","p014","c032","s069","prairie vole","Microtus ochrogaster","Microtus ochrogaster","Mammalia","Lawrence","Kansas",38.9685957677679,-95.2342143136705,"Y",NA,"semi-natural","E","breeding","settlement","survival","contrast","A","F",817,"non-disperser","disperser",721,96,88.7,91.7,"percent alive",NA,NA,NA,"percent_method1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,"Johnson & Gaines","adult","survival","survival","individual"
"53","ARM","SN","Johnson & Gaines 1987","p014","c032","s069","prairie vole","Microtus ochrogaster","Microtus ochrogaster","Mammalia","Lawrence","Kansas",38.9685957677679,-95.2342143136705,"Y",NA,"semi-natural","E","breeding","settlement","reproductive","contrast","A","F",610,"non-disperser","disperser",499,111,68.1,73,"percent reproductive",NA,NA,NA,"percent_method1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,"Johnson & Gaines","adult","lifetime breeding success","reproduction","individual"
"54","ARM","SN","Johnson & Gaines 1987","p014","c032","s069","prairie vole","Microtus ochrogaster","Microtus ochrogaster","Mammalia","Lawrence","Kansas",38.9685957677679,-95.2342143136705,"Y",NA,"semi-natural","E","breeding","settlement","reproductive","contrast","A","F",930,"non-disperser","disperser",819,111,62.8,73,"percent reproductive",NA,NA,NA,"percent_method1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,"Johnson & Gaines","adult","lifetime breeding success","reproduction","individual"
