obsID,cross_checked,reference,title,confirmation_bias,DOI,journal,paperID,subsetID,speciesID,common_name,species,species_cleaned,species_class,year,region,country,lat_lon,fitness_main_focus,study_type,shared_group,dispersal_type,dispersal_phase,fitness_metric,composite_variable,study_design,age_class,sex,n,group_1,group_2,n_group_1,n_group_2,mean_group_1,mean_group_2,mean_units,type_of_variance,variance_group_1,variance_group_2,function_needed,direction_change,effect_size,effect_size_details,effect_size_type,effect_size_value,effect_size_direction,effect_size_df,effect_size_p_value,effect_size_p_value_numeric,effect_size_type_of_variance,effect_size_variance,data_source,comments
ARM,NA,Matthews et al. 2013,"Reproduction, recruitment, and dispersal of fishers (Martes pennanti) in a managed Douglas-fir forest in California",NA,10.1644/11-MAMM-A-386.1,Journal of Mammalogy,p006,c010,s006,fisher,Martes pennanti,Martes pennanti,Mammalia,2005-2011,Hoopa Valley Indian Reservation,California,"41.09867762792436, -123.68661432533652",Y,natural,N,natal,settlement,survival,N,contrast,J,B,10,dead,alive,2,8,3351,5898,mean meters,SD,4010.003,5890.2,mean_method,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw data,
ARM,NA,Stillman et al. 2022,Conditional natal dispersal provides a mechanism for populations tracking resource pulses after fire,B,10.1093/beheco/arab106,Behavioral Ecology,p007,c012,s007,black-backed woodpecker,Picoides arcticus,Picoides arcticus,Aves,2016-2018,Cascade Range,California & Washington ,"42.20574321371214, -121.74281256344543",N,natural,N,natal,prospection,survival,N,gradient,J,B,23,dead,alive,7,16,5327.334,13718.02,mean meters,SD,4252.736,12651.06,mean_method,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw data,
ARM,NA,Zepeda et al. 2021,Early life experience influences dispersal in coyotes (Canis latrans),C,10.1093/beheco/arab027,Behavioral Ecology,p008,c013,s008,coyote,Canis latrans,Canis latrans,Mammalia,2000-2018,Chicago,Illionis,"41.87299695740083, -87.66193768166389",N,natural,N,natal,settlement,survival,N,gradient,A,B,19,dead,alive,10,9,15558.93,9330.818,mean meters,SD,18173.47,8330.278,mean_method,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw data,
ARM,NA,Dueser et al. 1981,Attributes of Dispersing Meadow Voles in Open-Grid Populations,NA,10.4098/AT.arch.81-14,Acta Theriologica,p009,c014,s009,meadow vole,Microtus pennsylvanicus,Microtus pennsylvanicus,Mammalia,1974-1975,Charlottesville,Virginia,"38.029398917010134, -78.47710824274162",N,semi-natural,N,B,settlement,lifespan,N,contrast,A,M,73,non-disperser,disperser,16,57,18.2,18.8,mean meters,SD,10.17,15.27,mean_method,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table 3 page 149,
ARM,NA,Dueser et al. 1981,Attributes of Dispersing Meadow Voles in Open-Grid Populations,NA,10.4098/AT.arch.81-14,Acta Theriologica,p009,c014,s009,meadow vole,Microtus pennsylvanicus,Microtus pennsylvanicus,Mammalia,1974-1975,Charlottesville,Virginia,"38.029398917010134, -78.47710824274162",N,semi-natural,N,B,settlement,lifespan,N,contrast,A,M,44,non-disperser,disperser,11,33,24.1,21.2,mean meters,SD,15.75,9.93,mean_method,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table 3 page 149,
ARM,NA,Dueser et al. 1981,Attributes of Dispersing Meadow Voles in Open-Grid Populations,NA,10.4098/AT.arch.81-14,Acta Theriologica,p009,c015,s009,meadow vole,Microtus pennsylvanicus,Microtus pennsylvanicus,Mammalia,1974-1975,Charlottesville,Virginia,"38.029398917010134, -78.47710824274162",N,semi-natural,N,B,settlement,lifespan,N,contrast,A,F,61,non-disperser,disperser,19,42,22.8,22.5,mean meters,SD,14.48,15.44,mean_method,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table 3 page 149,
ARM,NA,Dueser et al. 1981,Attributes of Dispersing Meadow Voles in Open-Grid Populations,NA,10.4098/AT.arch.81-14,Acta Theriologica,p009,c015,s009,meadow vole,Microtus pennsylvanicus,Microtus pennsylvanicus,Mammalia,1974-1975,Charlottesville,Virginia,"38.029398917010134, -78.47710824274162",N,semi-natural,N,B,settlement,lifespan,N,contrast,A,F,36,non-disperser,disperser,11,25,26.7,30.2,mean meters,SD,19.06,17.58,mean_method,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table 3 page 149,
ARM,ML,Newton & Marquiss 1983,Dispersal of Sparrowhawks between Birthplace and Breeding Place,N,10.2307/4566,Journal of Animal Ecology,p010,c016,s010,sparrowhawk,Accipiter nisus,Accipiter nisus,Aves,1971-1981,Annan,Scotland,"54.988698404040065, -3.256639302934236",N,natural,E,natal,settlement,clutch size,N,contrast,A,M,25,low,high,5,20,5.27,5.01,geometric mean meters,SD,8.608861713,4.382693236,mean_method,1,t-test,two-tailed t-test,t or z value,0.12,positive = non-disperser did better than disperser,23,NS,NA,NA,NA,table 3 page 471,"low: 1-4, high: 5-7; treated geometric mean/SE as normal mean/SE; converted to SD"
ARM,ML,Newton & Marquiss 1983,Dispersal of Sparrowhawks between Birthplace and Breeding Place,N,10.2307/4566,Journal of Animal Ecology,p010,c016,s010,sparrowhawk,Accipiter nisus,Accipiter nisus,Aves,1971-1981,Annan,Scotland,"54.988698404040065, -3.256639302934236",N,natural,E,natal,settlement,n of cluthes per year,N,contrast,A,M,26,low,high,8,18,7.97,4.37,geometric mean meters,SD,7.148849558,3.924442636,mean_method,1,t-test,two-tailed t-test,t or z value,1.73,positive = non-disperser did better than disperser,24,NS,NA,NA,NA,table 3 page 471,"low: 0-2, high:3-5; treated geometric mean/SE as normal mean/SE; converted to SD"
ARM,ML,Newton & Marquiss 1983,Dispersal of Sparrowhawks between Birthplace and Breeding Place,N,10.2307/4566,Journal of Animal Ecology,p010,c016,s010,sparrowhawk,Accipiter nisus,Accipiter nisus,Aves,1971-1981,Annan,Scotland,"54.988698404040065, -3.256639302934236",N,natural,E,natal,settlement,survival,N,contrast,A,M,65,low,high,47,18,12.64,11.57,geometric mean meters,SD,10.58538851,11.92182033,mean_method,1,t-test,two-tailed t-test,t or z value,0.25,positive = non-disperser did better than disperser,63,NS,NA,NA,NA,table 3 page 471,"low: <1 year, high: >1 year; treated geometric mean/SE as normal mean/SE; converted to SD"
ARM,ML,Newton & Marquiss 1983,Dispersal of Sparrowhawks between Birthplace and Breeding Place,N,10.2307/4566,Journal of Animal Ecology,p010,c017,s010,sparrowhawk,Accipiter nisus,Accipiter nisus,Aves,1971-1981,Annan,Scotland,"54.988698404040065, -3.256639302934236",N,natural,E,natal,settlement,clutch size,N,contrast,A,F,90,low,high,27,63,11.97,8.31,geometric mean meters,SD,13.65207677,6.111685529,mean_method,1,t-test,two-tailed t-test,t or z value,2.15,positive = non-disperser did better than disperser,88,<0.01,0.01,NA,NA,table 3 page 471,"low: 1-4, high: 5-7; treated geometric mean/SE as normal mean/SE; converted to SD"
ARM,ML,Newton & Marquiss 1983,Dispersal of Sparrowhawks between Birthplace and Breeding Place,N,10.2307/4566,Journal of Animal Ecology,p010,c017,s010,sparrowhawk,Accipiter nisus,Accipiter nisus,Aves,1971-1981,Annan,Scotland,"54.988698404040065, -3.256639302934236",N,natural,E,natal,settlement,n of cluthes per year,N,contrast,A,F,88,low,high,34,54,10.82,8.7,geometric mean meters,SD,11.463612,6.28294119,mean_method,1,t-test,two-tailed t-test,t or z value,1.3,positive = non-disperser did better than disperser,86,NS,NA,NA,NA,table 3 page 471,"low: 0-2, high:3-5; treated geometric mean/SE as normal mean/SE; converted to SD"
ARM,ML,Newton & Marquiss 1983,Dispersal of Sparrowhawks between Birthplace and Breeding Place,N,10.2307/4566,Journal of Animal Ecology,p010,c017,s010,sparrowhawk,Accipiter nisus,Accipiter nisus,Aves,1971-1981,Annan,Scotland,"54.988698404040065, -3.256639302934236",N,natural,E,natal,settlement,survival,N,contrast,A,F,99,low,high,67,32,24.35,21.45,geometric mean meters,SD,24.39235126,20.73237082,mean_method,1,t-test,two-tailed t-test,t or z value,0.6,positive = non-disperser did better than disperser,97,NS,NA,NA,NA,table 3 page 471,"low: <1 year, high: >1 year; treated geometric mean/SE as normal mean/SE; converted to SD"
ARM,NA,Johnson & Gaines 1985,"Selective Basis For Emigration of the Prairie Vole, Microtus ochrogaster: Open Field Experiment",N,10.2307/4487,Journal of Animal Ecology,p011,c018,s069,prairie vole,Microtus ochrogaster,Microtus ochrogaster,Mammalia,1979-1982,Lawrence,Kansas,"38.97084410637965, -95.23875382273805",Y,semi-natural,E,natal,settlement,survival,N,contrast,JY,M,414,non-disperser,disperser,210,204,48.1,63.2,percent alive,NA,NA,NA,percent_method1,1,chi-square,chi-square test for homogeneity,chi2,9.65,positive = disperser did better than non-disperser,1,<0.05,0.05,NA,NA,table 3 page 404; text page 404-405,dispersers: grid I
ARM,NA,Johnson & Gaines 1985,"Selective Basis For Emigration of the Prairie Vole, Microtus ochrogaster: Open Field Experiment",N,10.2307/4487,Journal of Animal Ecology,p011,c018,s069,prairie vole,Microtus ochrogaster,Microtus ochrogaster,Mammalia,1979-1982,Lawrence,Kansas,"38.97084410637965, -95.23875382273805",Y,semi-natural,E,natal,settlement,survival,N,contrast,JY,M,337,non-disperser,disperser,210,127,48.1,50.4,percent alive,NA,NA,NA,percent_method1,1,chi-square,chi-square test for homogeneity,chi2,NA,NA,1,NS,NA,NA,NA,table 3 page 404,dispersers: grid G
ARM,NA,Johnson & Gaines 1985,"Selective Basis For Emigration of the Prairie Vole, Microtus ochrogaster: Open Field Experiment",N,10.2307/4487,Journal of Animal Ecology,p011,c019,s069,prairie vole,Microtus ochrogaster,Microtus ochrogaster,Mammalia,1979-1982,Lawrence,Kansas,"38.97084410637965, -95.23875382273805",Y,semi-natural,E,breeding,settlement,survival,N,contrast,A,M,1010,non-disperser,disperser,555,455,66.7,77.4,percent alive,NA,NA,NA,percent_method1,1,chi-square,chi-square test for homogeneity,chi2,13.98,positive = disperser did better than non-disperser,1,<0.001,0.001,NA,NA,table 3 page 404; text page 404-405,dispersers: grid I
ARM,NA,Johnson & Gaines 1985,"Selective Basis For Emigration of the Prairie Vole, Microtus ochrogaster: Open Field Experiment",N,10.2307/4487,Journal of Animal Ecology,p011,c019,s069,prairie vole,Microtus ochrogaster,Microtus ochrogaster,Mammalia,1979-1982,Lawrence,Kansas,"38.97084410637965, -95.23875382273805",Y,semi-natural,E,breeding,settlement,survival,N,contrast,A,M,897,non-disperser,disperser,555,342,66.7,67.8,percent alive,NA,NA,NA,percent_method1,1,chi-square,chi-square test for homogeneity,chi2,NA,NA,1,NS,NA,NA,NA,table 3 page 404,dispersers: grid G
ARM,NA,Johnson & Gaines 1985,"Selective Basis For Emigration of the Prairie Vole, Microtus ochrogaster: Open Field Experiment",N,10.2307/4487,Journal of Animal Ecology,p011,c020,s069,prairie vole,Microtus ochrogaster,Microtus ochrogaster,Mammalia,1979-1982,Lawrence,Kansas,"38.97084410637965, -95.23875382273805",Y,semi-natural,E,natal,settlement,survival,N,contrast,JY,F,451,non-disperser,disperser,238,213,51.3,68.1,percent alive,NA,NA,NA,percent_method1,1,chi-square,chi-square test for homogeneity,chi2,13.16,positive = disperser did better than non-disperser,1,<0.001,0.001,NA,NA,table 3 page 404; text page 404-405,dispersers: grid I
ARM,NA,Johnson & Gaines 1985,"Selective Basis For Emigration of the Prairie Vole, Microtus ochrogaster: Open Field Experiment",N,10.2307/4487,Journal of Animal Ecology,p011,c020,s069,prairie vole,Microtus ochrogaster,Microtus ochrogaster,Mammalia,1979-1982,Lawrence,Kansas,"38.97084410637965, -95.23875382273805",Y,semi-natural,E,natal,settlement,survival,N,contrast,JY,F,355,non-disperser,disperser,238,117,51.3,54.7,percent alive,NA,NA,NA,percent_method1,1,chi-square,chi-square test for homogeneity,chi2,NA,NA,1,NS,NA,NA,NA,table 3 page 404,dispersers: grid G
ARM,NA,Johnson & Gaines 1985,"Selective Basis For Emigration of the Prairie Vole, Microtus ochrogaster: Open Field Experiment",N,10.2307/4487,Journal of Animal Ecology,p011,c020,s069,prairie vole,Microtus ochrogaster,Microtus ochrogaster,Mammalia,1979-1982,Lawrence,Kansas,"38.97084410637965, -95.23875382273805",Y,semi-natural,E,natal,settlement,reproductive,N,contrast,JY,F,498,non-disperser,disperser,239,259,12.1,12.7,percent reproductive,NA,NA,NA,percent_method1,1,chi-square,chi-square test for homogeneity,chi2,NA,NA,1,NS,NA,NA,NA,table 4 page 405,dispersers: grid I; don't extract info for reproductive males because presence of scrotal testes indicates no more than reproductive potential
ARM,NA,Johnson & Gaines 1985,"Selective Basis For Emigration of the Prairie Vole, Microtus ochrogaster: Open Field Experiment",N,10.2307/4487,Journal of Animal Ecology,p011,c020,s069,prairie vole,Microtus ochrogaster,Microtus ochrogaster,Mammalia,1979-1982,Lawrence,Kansas,"38.97084410637965, -95.23875382273805",Y,semi-natural,E,natal,settlement,reproductive,N,contrast,JY,F,380,non-disperser,disperser,239,141,12.1,11.3,percent reproductive,NA,NA,NA,percent_method1,1,chi-square,chi-square test for homogeneity,chi2,NA,NA,1,NS,NA,NA,NA,table 4 page 405,dispersers: grid G; don't extract info for reproductive males because presence of scrotal testes indicates no more than reproductive potential
ARM,NA,Johnson & Gaines 1985,"Selective Basis For Emigration of the Prairie Vole, Microtus ochrogaster: Open Field Experiment",N,10.2307/4487,Journal of Animal Ecology,p011,c021,s069,prairie vole,Microtus ochrogaster,Microtus ochrogaster,Mammalia,1979-1982,Lawrence,Kansas,"38.97084410637965, -95.23875382273805",Y,semi-natural,E,breeding,settlement,survival,N,contrast,A,F,1048,non-disperser,disperser,608,440,69.7,77.5,percent alive,NA,NA,NA,percent_method1,1,chi-square,chi-square test for homogeneity,chi2,7.79,positive = disperser did better than non-disperser,1,<0.01,0.01,NA,NA,table 3 page 404; text page 404-405,dispersers: grid I
ARM,NA,Johnson & Gaines 1985,"Selective Basis For Emigration of the Prairie Vole, Microtus ochrogaster: Open Field Experiment",N,10.2307/4487,Journal of Animal Ecology,p011,c021,s069,prairie vole,Microtus ochrogaster,Microtus ochrogaster,Mammalia,1979-1982,Lawrence,Kansas,"38.97084410637965, -95.23875382273805",Y,semi-natural,E,breeding,settlement,survival,N,contrast,A,F,951,non-disperser,disperser,608,343,69.7,63.8,percent alive,NA,NA,NA,percent_method1,1,chi-square,chi-square test for homogeneity,chi2,NA,NA,1,NS,NA,NA,NA,table 3 page 404,dispersers: grid G
ARM,NA,Johnson & Gaines 1985,"Selective Basis For Emigration of the Prairie Vole, Microtus ochrogaster: Open Field Experiment",N,10.2307/4487,Journal of Animal Ecology,p011,c021,s069,prairie vole,Microtus ochrogaster,Microtus ochrogaster,Mammalia,1979-1982,Lawrence,Kansas,"38.97084410637965, -95.23875382273805",Y,semi-natural,E,breeding,settlement,reproductive,N,contrast,A,F,1187,non-disperser,disperser,633,554,85.2,83.6,percent reproductive,NA,NA,NA,percent_method1,1,chi-square,chi-square test for homogeneity,chi2,NA,NA,1,NS,NA,NA,NA,table 4 page 405,dispersers: grid I; don't extract info for reproductive males because presence of scrotal testes indicates no more than reproductive potential
ARM,NA,Johnson & Gaines 1985,"Selective Basis For Emigration of the Prairie Vole, Microtus ochrogaster: Open Field Experiment",N,10.2307/4487,Journal of Animal Ecology,p011,c021,s069,prairie vole,Microtus ochrogaster,Microtus ochrogaster,Mammalia,1979-1982,Lawrence,Kansas,"38.97084410637965, -95.23875382273805",Y,semi-natural,E,breeding,settlement,reproductive,N,contrast,A,F,1090,non-disperser,disperser,633,457,85.2,79.6,percent reproductive,NA,NA,NA,percent_method1,1,chi-square,chi-square test for homogeneity,chi2,5.68,positive = non-disperser did better than disperser,1,<0.05,0.05,NA,NA,table 4 page 405; text page 405,dispersers: grid G; don't extract info for reproductive males because presence of scrotal testes indicates no more than reproductive potential
ARM,NA,Jones 1986,Survivorship in Philopatric and Dispersing Kangaroo Rats (Dipodomys spectabilis),C,10.2307/1938519,Ecology,p012,c022,s011,banner-tailed kangaroo rat,Dipodomys spectabilis,Dipodomys spectabilis,Mammalia,1980-1984,Portal,Arizona,"31.91410259715307, -109.14041958346124",Y,natural,N,natal,prospection,survival to reproductive maturity (overwinter),N,contrast,J,M,84,non-disperser,disperser,24,60,62.5,38.33333333,percent alive,NA,NA,NA,percent_method1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table 1 page 204,distance = 0 was non-disperser and 1+ was disperser
ARM,NA,Jones 1986,Survivorship in Philopatric and Dispersing Kangaroo Rats (Dipodomys spectabilis),C,10.2307/1938519,Ecology,p012,c023,s011,banner-tailed kangaroo rat,Dipodomys spectabilis,Dipodomys spectabilis,Mammalia,1980-1984,Portal,Arizona,"31.91410259715307, -109.14041958346124",Y,natural,N,natal,prospection,survival to reproductive maturity (overwinter),N,contrast,J,F,63,non-disperser,disperser,13,50,69.23076923,38,percent alive,NA,NA,NA,percent_method1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table 1 page 204,distance = 0 was non-disperser and 1+ was disperser
ARM,NA,Jones 1986,Survivorship in Philopatric and Dispersing Kangaroo Rats (Dipodomys spectabilis),C,10.2307/1938519,Ecology,p012,c024,s011,banner-tailed kangaroo rat,Dipodomys spectabilis,Dipodomys spectabilis,Mammalia,1980-1984,Portal,Arizona,"31.91410259715307, -109.14041958346124",Y,natural,N,natal,settlement,survival >1 year,N,contrast,A,M,26,non-disperser,disperser,11,15,45.45454545,46.66666667,percent alive,NA,NA,NA,percent_method1,1,likelihood ratio,G-test,G value,0.015949,NA,1,0.8995,0.8995,NA,NA,table 2 page 204,"distance = 0 was non-disperser and 1+ was disperser; because they didn't report the values in text, I did calculation manually using g.test(x)"
ARM,NA,Jones 1986,Survivorship in Philopatric and Dispersing Kangaroo Rats (Dipodomys spectabilis),C,10.2307/1938519,Ecology,p012,c025,s011,banner-tailed kangaroo rat,Dipodomys spectabilis,Dipodomys spectabilis,Mammalia,1980-1984,Portal,Arizona,"31.91410259715307, -109.14041958346124",Y,natural,N,natal,settlement,survival >1 year,N,contrast,A,F,25,non-disperser,disperser,9,16,44.44444444,43.75,percent alive,NA,NA,NA,percent_method1,1,likelihood ratio,G-test,G value,0.0054681,NA,1,0.9411,0.9411,NA,NA,table 2 page 204,"distance = 0 was non-disperser and 1+ was disperser; because they didn't report the values in text, I did calculation manually using g.test(x)"
ARM,SN,Krohne & Burgin 1987,Relative success of residents and immigrants in Peromyscus leucopus,N,10.1111/j.1600-0587.1987.tb00759.x,Holarctic Ecology,p013,c026,s012,white-footed mouse,Peromyscus leucopus,Peromyscus leucopus,Mammalia,1980-1985,Rockville,Indiana,"39.762654761030866, -87.22957443467017",Y,natural,N,natal,prospection,survival,N,contrast,J,B,89,non-disperser,disperser,64,25,15.4,16.4,mean weeks,SD,15.9,20.5,mean_method,1,non-parametric,Mann-Whitney U two-tailed,Mann-Whitney U,NA,NA,NA,NS,NA,NA,NA,table 1 page 198 text page 198,"sample sizes in table are different than the sample sizes reported as df in text; table states they are reported SE, but it is likely, so we assume they actually reported SD"
ARM,SN,Krohne & Burgin 1987,Relative success of residents and immigrants in Peromyscus leucopus,N,10.1111/j.1600-0587.1987.tb00759.x,Holarctic Ecology,p013,c027,s012,white-footed mouse,Peromyscus leucopus,Peromyscus leucopus,Mammalia,1980-1985,Rockville,Indiana,"39.762654761030866, -87.22957443467017",Y,natural,N,breeding,settlement,reproductive,N,contrast,A,F,68,non-disperser,disperser,30,38,70,42,percent reproductive,NA,NA,NA,percent_method1,1,chi-square,chi-square test for homogeneity,chi2,5.26,positive = non-disperser did better than disperser,1,<0.05,0.05,NA,NA,table 1 page 198 text page 198,don't extract info for reproductive males because presence of scrotal testes indicates no more than reproductive potential
ARM,SN,Krohne & Burgin 1987,Relative success of residents and immigrants in Peromyscus leucopus,N,10.1111/j.1600-0587.1987.tb00759.x,Holarctic Ecology,p013,c028,s012,white-footed mouse,Peromyscus leucopus,Peromyscus leucopus,Mammalia,1980-1985,Rockville,Indiana,"39.762654761030866, -87.22957443467017",Y,natural,N,natal,prospection,recruitment,N,contrast,J,B,201,non-disperser,disperser,102,99,59,51.52,percent recruited,NA,NA,NA,percent_method1,1,chi-square,chi-square test for homogeneity,chi2,1.09,NA,1,29.8,29.8,NA,NA,table 1 page 198 text page 198,there is a sample size breakdown by sex for immigrants on page 197 (35/61 imm males and 16/38 imm females); no breakdown for residents by sex
